"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Steve Cishek","Cubs","4","3","4","80","0","70.1","9.98","3.58","0.64",".238","84.0 %","47.3 %","8.5 %","2.18","3.45","3.91","0.8","6483"
"Dylan Bundy","Orioles","8","16","0","31","31","171.2","9.65","2.83","2.15",".316","69.3 %","34.0 %","17.8 %","5.45","5.17","4.28","0.8","12917"
"Austin Gomber","Cardinals","6","2","0","29","11","75.0","8.04","3.84","0.84",".330","71.8 %","38.1 %","9.1 %","4.44","4.03","4.51","0.8","16561"
"Steven Matz","Mets","5","11","0","30","30","154.0","8.88","3.39","1.46",".267","74.9 %","48.8 %","16.6 %","3.97","4.62","4.13","0.8","13361"
"Adam Cimber","- - -","3","8","0","70","0","68.1","7.64","2.24","0.66",".318","75.0 %","57.2 %","11.6 %","3.42","3.42","3.51","0.7","15288"
"Ryan Yarbrough","Rays","16","6","0","38","6","147.1","7.82","3.05","1.10",".288","74.1 %","38.0 %","11.2 %","3.91","4.19","4.41","0.7","16502"
"Joe Kelly","Red Sox","4","2","2","73","0","65.2","9.32","4.39","0.55",".301","67.9 %","46.9 %","8.0 %","4.39","3.57","4.04","0.7","9761"
"Edwin Jackson","Athletics","6","3","0","17","17","92.0","6.65","3.62","1.17",".240","79.2 %","36.4 %","11.2 %","3.33","4.65","4.88","0.7","1841"
"Brad Brach","- - -","2","4","12","69","0","62.2","8.62","4.02","0.72",".344","73.4 %","46.0 %","8.3 %","3.59","3.67","4.22","0.7","6627"
"Tyler Glasnow","- - -","2","7","0","45","11","111.2","10.96","4.27","1.21",".285","72.8 %","49.8 %","18.3 %","4.27","4.00","3.47","0.7","14374"
"Julio Teheran","Braves","9","9","0","31","31","175.2","8.30","4.30","1.33",".217","75.6 %","38.0 %","13.5 %","3.94","4.83","4.72","0.7","6797"
"Aaron Sanchez","Blue Jays","4","6","0","20","20","105.0","7.37","4.97","0.94",".304","70.1 %","49.1 %","10.8 %","4.89","4.74","4.98","0.7","11490"
"Carlos Rodon","White Sox","6","8","0","20","20","120.2","6.71","4.10","1.12",".242","72.0 %","41.5 %","9.9 %","4.18","4.95","5.40","0.7","16137"
"Clayton Richard","Padres","7","11","0","27","27","158.2","6.13","3.40","1.08",".289","64.7 %","56.8 %","17.8 %","5.33","4.68","4.24","0.7","3551"
"Brad Peacock","Astros","3","5","3","61","1","65.0","13.29","2.77","1.52",".317","83.3 %","37.5 %","18.0 %","3.46","3.47","2.82","0.7","5401"
"Tommy Hunter","Phillies","5","4","4","65","0","64.0","7.17","2.11","0.84",".303","73.7 %","52.0 %","9.7 %","3.80","3.63","4.01","0.7","1157"
"Lou Trivino","Athletics","8","3","4","69","1","74.0","9.97","3.77","0.97",".256","82.9 %","46.7 %","14.3 %","2.92","3.69","3.53","0.6","15043"
"Yusmeiro Petit","Athletics","7","3","0","74","0","93.0","7.35","1.74","1.26",".241","81.8 %","35.8 %","11.0 %","3.00","3.92","4.20","0.6","4020"
"Archie Bradley","Diamondbacks","4","5","3","76","0","71.2","9.42","2.51","1.13",".282","76.3 %","49.2 %","13.8 %","3.64","3.71","3.57","0.6","12918"
"Anthony DeSclafani","Reds","7","8","0","21","21","115.0","8.45","2.35","1.88",".294","70.5 %","41.5 %","19.8 %","4.93","4.83","3.86","0.6","13050"
"Edgar Santana","Pirates","3","4","0","69","0","66.1","7.33","1.63","0.95",".277","77.0 %","45.8 %","10.1 %","3.26","3.58","3.93","0.6","17355"
"Sal Romano","Reds","8","11","0","39","25","145.2","6.49","3.27","1.42",".288","66.7 %","45.5 %","14.6 %","5.31","4.95","4.68","0.6","13690"
"Zach Davies","Brewers","2","7","0","13","13","66.0","6.68","2.86","1.09",".298","69.3 %","47.5 %","13.1 %","4.77","4.39","4.34","0.6","13183"
"Shane Carle","Braves","4","1","1","53","0","63.0","6.14","3.86","0.29",".258","74.5 %","46.7 %","4.2 %","2.86","3.54","4.39","0.6","15258"
"Jordan Lyles","- - -","3","4","0","35","8","87.2","8.62","2.87","1.23",".291","74.1 %","45.6 %","12.8 %","4.11","4.09","4.08","0.6","7593"
"Chris Stratton","Giants","10","10","0","28","26","145.0","6.95","3.35","1.18",".306","66.9 %","42.6 %","13.1 %","5.09","4.48","4.43","0.6","13761"
"Yoshihisa Hirano","Diamondbacks","4","3","3","75","0","66.1","8.01","3.12","0.81",".250","79.3 %","50.3 %","10.0 %","2.44","3.69","4.01","0.5","19756"
"Drew Steckenrider","Marlins","4","4","5","71","0","64.2","10.30","3.76","0.97",".296","74.1 %","33.9 %","9.9 %","3.90","3.62","4.03","0.5","18806"
"Tyler Clippard","Blue Jays","4","3","7","73","1","68.2","11.14","3.01","1.70",".272","83.1 %","19.2 %","12.5 %","3.67","4.24","4.28","0.5","5640"
"Daniel Mengden","Athletics","7","6","0","22","17","115.2","5.60","2.02","1.40",".238","69.3 %","39.8 %","12.7 %","4.05","4.69","4.70","0.5","16980"
"Marco Estrada","Blue Jays","7","14","0","28","28","143.2","6.45","3.13","1.82",".284","69.7 %","24.0 %","11.2 %","5.64","5.44","5.79","0.5","1118"
"Hector Velazquez","Red Sox","7","2","0","47","8","85.0","5.61","2.75","0.74",".325","79.0 %","49.8 %","8.8 %","3.18","4.15","4.63","0.5","19341"
"Fernando Rodney","- - -","4","3","25","68","0","64.1","9.79","4.48","0.98",".318","80.3 %","44.4 %","12.3 %","3.36","4.03","4.08","0.5","494"
"Sam Dyson","Giants","4","3","3","74","0","70.1","7.17","2.56","0.64",".270","77.8 %","61.3 %","11.1 %","2.69","3.47","3.61","0.5","11710"
"Jordan Hicks","Cardinals","3","4","6","73","0","77.2","8.11","5.21","0.23",".266","72.3 %","60.7 %","5.0 %","3.59","3.74","4.26","0.5","19618"
"Heath Fillmyer","Royals","4","2","0","17","13","82.1","6.23","3.50","1.20",".277","73.5 %","46.4 %","13.9 %","4.26","4.75","4.60","0.5","17466"
"Andrew Cashner","Orioles","4","15","0","28","28","153.0","5.82","3.82","1.47",".311","70.5 %","40.4 %","13.6 %","5.29","5.32","5.19","0.5","8782"
"Scott Alexander","Dodgers","2","1","3","73","1","66.0","7.64","3.68","0.55",".296","72.1 %","70.9 %","19.0 %","3.68","3.57","3.31","0.5","10591"
"T.J. McFarland","Diamondbacks","2","2","1","47","0","72.0","5.25","2.75","0.50",".268","84.6 %","67.9 %","10.5 %","2.00","3.63","3.78","0.5","3237"
"Sergio Romo","Rays","3","4","25","73","5","67.1","10.02","2.67","1.47",".307","78.2 %","36.4 %","13.6 %","4.14","4.04","3.90","0.5","9817"
"Chad Kuhl","Pirates","5","5","0","16","16","85.0","8.58","3.49","1.48",".311","74.3 %","36.2 %","15.4 %","4.55","4.70","4.33","0.4","14975"
"Chase Anderson","Brewers","9","8","0","30","30","158.0","7.29","3.25","1.71",".239","81.1 %","34.5 %","15.4 %","3.93","5.22","4.79","0.4","6895"
"Amir Garrett","Reds","1","2","0","66","0","63.0","10.14","3.57","1.14",".306","74.2 %","38.0 %","13.3 %","4.29","3.89","3.81","0.4","14375"
"Kenley Jansen","Dodgers","1","5","38","69","0","71.2","10.30","2.13","1.63",".234","82.1 %","35.3 %","15.9 %","3.01","4.03","3.56","0.4","3096"
"Chad Bettis","Rockies","5","2","0","27","20","120.1","5.98","3.52","1.35",".280","68.3 %","49.1 %","15.1 %","5.01","5.07","4.76","0.4","10587"
"Ryan Tepera","Blue Jays","5","5","7","68","0","64.2","9.46","3.34","1.25",".291","79.6 %","44.0 %","13.8 %","3.62","4.17","4.02","0.4","10291"
"Brian Johnson","Red Sox","4","5","0","38","13","99.1","7.88","3.44","1.45",".301","77.9 %","37.3 %","12.2 %","4.17","4.68","4.77","0.4","14272"
"Francisco Liriano","Tigers","5","12","0","27","26","133.2","7.41","4.92","1.28",".285","67.8 %","48.3 %","16.2 %","4.58","5.11","4.71","0.3","3201"
"Robert Gsellman","Mets","6","3","13","68","0","80.0","7.88","3.15","0.90",".291","66.5 %","49.4 %","10.5 %","4.28","3.95","4.22","0.3","13696"
"Michael Lorenzen","Reds","4","2","1","45","3","81.0","6.00","3.78","0.67",".291","77.9 %","50.2 %","9.7 %","3.11","4.16","4.46","0.3","14843"
"Doug Fister","Rangers","1","7","0","12","12","66.0","5.45","2.59","1.50",".291","70.2 %","50.4 %","18.6 %","4.50","5.25","4.56","0.3","9425"
"Cam Bedrosian","Angels","5","4","1","71","0","64.0","8.02","3.66","0.98",".313","75.1 %","47.3 %","12.1 %","3.80","4.11","4.19","0.3","13360"
"Felix Hernandez","Mariners","8","14","0","29","28","155.2","7.23","3.41","1.56",".286","64.0 %","46.9 %","16.6 %","5.55","5.18","4.65","0.3","4772"
"Raisel Iglesias","Reds","2","5","30","66","0","72.0","10.00","3.13","1.50",".233","91.6 %","38.5 %","18.8 %","2.38","4.23","3.53","0.2","17130"
"Jesse Biddle","Braves","6","1","1","60","0","63.2","9.47","4.38","0.85",".277","76.7 %","55.6 %","17.1 %","3.11","3.88","3.57","0.2","11437"
"Yefry Ramirez","Orioles","1","8","0","17","12","65.1","8.54","4.96","1.52",".293","67.7 %","34.0 %","12.9 %","5.92","5.29","5.25","0.2","15655"
"Bartolo Colon","Rangers","7","12","0","28","24","146.1","4.98","1.54","1.97",".287","66.4 %","42.1 %","17.7 %","5.78","5.47","4.67","0.2","375"
"Dan Jennings","Brewers","4","5","1","72","1","64.1","6.30","3.22","0.84",".306","77.2 %","56.1 %","13.3 %","3.22","4.09","4.04","0.2","8073"
"Kevin McCarthy","Royals","5","4","0","65","0","72.0","5.75","2.50","0.88",".289","77.9 %","64.3 %","19.4 %","3.25","4.06","3.63","0.2","15240"
"Brandon McCarthy","Braves","6","3","0","15","15","78.2","7.44","2.40","1.72",".332","74.5 %","48.0 %","21.7 %","4.92","4.79","3.76","0.2","4662"
"Alex Wilson","Tigers","2","4","0","59","0","61.2","6.28","2.19","1.17",".237","77.1 %","49.2 %","14.3 %","3.36","4.28","4.09","0.2","9239"
"Brandon Kintzler","- - -","3","3","2","70","0","60.2","6.38","3.26","0.74",".328","72.1 %","49.7 %","9.3 %","4.60","4.10","4.50","0.2","9939"
"Heath Hembree","Red Sox","4","1","0","67","0","60.0","11.40","4.05","1.50",".295","76.1 %","39.4 %","15.6 %","4.20","4.19","3.79","0.2","11632"
"Tyler Mahle","Reds","7","9","0","23","23","112.0","8.84","4.26","1.77",".323","75.2 %","38.7 %","18.5 %","4.98","5.25","4.45","0.1","16358"
"Jason Vargas","Mets","7","9","0","20","20","92.0","8.22","2.93","1.76",".307","68.3 %","39.4 %","16.7 %","5.77","5.02","4.42","0.1","8044"
"Eric Skoglund","Royals","1","6","0","14","13","70.0","6.30","2.44","1.54",".261","67.4 %","42.1 %","14.0 %","5.14","5.06","4.86","0.1","16155"
"Austin Pruitt","Rays","2","3","4","23","0","69.2","5.43","2.07","0.90",".289","61.9 %","48.5 %","9.1 %","4.65","3.99","4.51","0.1","15290"
"Yovani Gallardo","- - -","8","8","0","21","18","94.1","5.53","4.48","1.34",".309","64.5 %","43.8 %","13.6 %","6.39","5.42","5.29","0.1","8173"
"Dan Straily","Marlins","5","6","0","23","23","122.1","7.28","3.83","1.47",".256","75.4 %","32.1 %","13.5 %","4.12","5.11","4.99","0.1","9460"
"Blake Parker","Angels","2","1","14","67","0","66.1","9.50","2.58","1.63",".297","89.4 %","33.7 %","15.0 %","3.26","4.40","4.04","0.0","5224"
"Jaime Garcia","- - -","3","7","0","33","14","82.0","8.01","4.83","1.43",".292","65.0 %","43.0 %","13.5 %","5.82","5.16","5.03","0.0","8137"
"Buck Farmer","Tigers","3","4","0","66","1","69.1","7.40","5.32","0.78",".300","74.6 %","40.4 %","7.8 %","4.15","4.46","5.17","0.0","14814"
"Matt Moore","Rangers","3","8","0","39","12","102.0","7.59","3.62","1.68",".341","62.4 %","37.7 %","13.8 %","6.79","5.25","5.06","0.0","1890"
"Jake Faria","Rays","4","4","0","17","12","65.0","6.92","4.57","1.25",".274","68.4 %","34.4 %","10.7 %","5.40","5.08","5.42","0.0","13699"
"Matt Andriese","- - -","3","7","0","41","5","78.2","8.92","2.86","1.72",".314","66.7 %","48.7 %","21.1 %","5.26","4.69","3.70","0.0","12022"
"Brian Flynn","Royals","3","5","1","48","0","75.2","5.59","4.16","0.59",".333","74.6 %","49.8 %","6.9 %","4.04","4.28","5.00","0.0","12027"
"Cody Allen","Indians","4","6","27","70","0","67.0","10.75","4.43","1.48",".292","75.4 %","30.0 %","12.8 %","4.70","4.56","4.55","0.0","12183"
"Mike Wright","Orioles","4","2","0","48","2","84.1","7.90","3.84","1.28",".344","70.0 %","35.4 %","12.6 %","5.55","4.79","4.80","0.0","12586"
"Trevor Hildenberger","Twins","4","6","7","73","0","73.0","8.63","3.21","1.48",".301","66.1 %","46.3 %","19.4 %","5.42","4.53","3.80","0.0","17002"
"David Hess","Orioles","3","10","0","21","19","103.1","6.45","3.22","1.92",".268","72.4 %","34.5 %","14.2 %","4.88","5.80","5.51","-0.1","16130"
"Nick Tropeano","Angels","5","6","0","14","14","76.0","7.58","3.67","1.89",".256","76.3 %","37.0 %","18.0 %","4.74","5.52","4.71","-0.1","12385"
"Shane Greene","Tigers","4","6","32","66","0","63.1","9.24","2.70","1.71",".311","69.7 %","40.7 %","16.4 %","5.12","4.61","4.05","-0.1","10756"
"Noe Ramirez","Angels","7","5","1","69","1","83.1","10.26","3.24","1.62",".290","75.6 %","43.4 %","18.1 %","4.54","4.52","3.82","-0.1","12800"
"Emilio Pagan","Athletics","3","1","0","55","0","62.0","9.15","2.76","1.89",".256","79.9 %","26.9 %","13.5 %","4.35","4.92","4.75","-0.2","14771"
"Lucas Giolito","White Sox","10","13","0","32","32","173.1","6.49","4.67","1.40",".268","63.5 %","44.4 %","13.4 %","6.13","5.56","5.46","-0.2","15474"
"Homer Bailey","Reds","1","14","0","20","20","106.1","6.35","2.79","1.95",".327","65.4 %","42.6 %","18.7 %","6.09","5.55","4.65","-0.2","8362"
"Martin Perez","Rangers","2","7","0","22","15","85.1","5.48","3.80","1.69",".344","65.4 %","50.8 %","18.2 %","6.22","5.72","4.98","-0.2","6902"
"Brad Ziegler","- - -","2","6","10","82","0","73.2","6.11","3.05","0.98",".286","73.7 %","71.1 %","26.7 %","3.91","4.31","3.58","-0.2","7293"
"Hector Santiago","White Sox","6","3","2","49","7","102.0","9.09","5.29","1.41",".308","78.0 %","33.3 %","11.1 %","4.41","5.09","5.38","-0.2","4026"
"Jim Johnson","Angels","5","3","2","62","1","63.1","6.39","3.13","1.28",".288","65.9 %","49.0 %","15.8 %","3.84","4.68","4.32","-0.3","3656"
"Adam Plutko","Indians","4","5","1","17","12","76.2","7.04","2.70","2.47",".258","78.5 %","26.8 %","15.4 %","5.28","6.10","5.46","-0.3","15846"
"Drew Pomeranz","Red Sox","2","6","0","26","11","74.0","8.03","5.35","1.46",".344","69.4 %","37.1 %","13.5 %","6.08","5.43","5.31","-0.3","11426"
"Miguel Castro","Orioles","2","7","0","63","1","86.1","5.94","5.21","0.94",".259","75.8 %","49.0 %","10.6 %","3.96","5.11","5.38","-0.3","15684"
"Corey Oswalt","Mets","3","3","0","17","12","64.2","6.26","2.78","1.95",".276","68.1 %","42.3 %","18.2 %","5.85","5.70","4.85","-0.3","13677"
"Nick Kingham","Pirates","5","7","0","18","15","76.0","8.17","3.08","2.13",".272","70.8 %","38.2 %","18.9 %","5.21","5.65","4.63","-0.4","11694"
"Steven Brault","Pirates","6","3","0","45","5","91.2","8.05","5.60","0.98",".289","72.6 %","48.1 %","11.9 %","4.61","4.92","5.01","-0.4","15291"
"Elieser Hernandez","Marlins","2","7","0","32","6","65.2","6.17","3.70","1.51",".286","72.3 %","27.9 %","10.5 %","5.21","5.29","5.76","-0.4","16933"
"Tyler Chatwood","Cubs","4","6","0","24","20","103.2","7.38","8.25","0.78",".286","72.8 %","54.1 %","11.1 %","5.30","5.60","5.76","-0.5","4338"
"Joe Biagini","Blue Jays","4","7","0","50","4","72.0","6.63","3.00","1.75",".355","71.4 %","47.9 %","18.2 %","6.00","5.47","4.71","-0.5","13194"
"Bryan Mitchell","Padres","2","4","0","16","11","73.0","4.68","5.30","1.48",".302","75.1 %","47.8 %","17.4 %","5.42","6.11","5.53","-0.6","11479"
"Burch Smith","Royals","1","6","0","38","6","78.0","8.88","4.62","1.73",".338","65.5 %","40.3 %","16.1 %","6.92","5.38","4.85","-0.6","12784"
"Matt Koch","Diamondbacks","5","5","0","19","14","86.2","5.19","2.28","1.97",".262","81.7 %","44.4 %","20.4 %","4.15","5.83","4.75","-0.6","13420"
"Jarlin Garcia","Marlins","3","3","0","29","7","66.0","5.45","3.82","2.18",".222","77.4 %","43.1 %","20.5 %","4.91","6.37","5.17","-1.3","18282"
"Josh Tomlin","Indians","2","5","0","32","9","70.1","5.89","1.54","3.20",".286","76.7 %","30.6 %","21.4 %","6.14","7.16","5.28","-1.3","9388"
