"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Brad Keller","Royals","9","6","0","41","20","140.1","6.16","3.21","0.45",".294","77.1 %","54.4 %","6.1 %","3.08","3.55","4.26","2.5","15734"
"Chris Archer","- - -","6","8","0","27","27","148.1","9.83","2.97","1.15",".338","72.5 %","44.6 %","14.1 %","4.31","3.75","3.59","2.4","6345"
"Anibal Sanchez","Braves","7","6","0","25","24","136.2","8.89","2.77","0.99",".255","79.4 %","45.0 %","11.2 %","2.83","3.62","3.81","2.4","3284"
"Tyler Skaggs","Angels","8","10","0","24","24","125.1","9.26","2.87","1.01",".328","73.5 %","44.2 %","11.5 %","4.02","3.63","3.79","2.4","10190"
"Jack Flaherty","Cardinals","8","9","0","28","28","151.0","10.85","3.52","1.19",".257","79.3 %","42.1 %","15.2 %","3.34","3.86","3.58","2.3","17479"
"Eduardo Rodriguez","Red Sox","13","5","0","27","23","129.2","10.13","3.12","1.11",".301","76.9 %","38.7 %","11.0 %","3.82","3.65","3.90","2.3","13164"
"Mike Leake","Mariners","10","10","0","31","31","185.2","5.77","1.65","1.11",".306","69.4 %","48.7 %","12.6 %","4.36","4.14","4.15","2.3","10130"
"Ross Stripling","Dodgers","8","6","0","33","21","122.0","10.03","1.62","1.33",".322","86.1 %","45.4 %","16.4 %","3.02","3.42","2.99","2.3","13273"
"Craig Stammen","Padres","8","3","0","73","0","79.0","10.03","1.94","0.34",".301","74.3 %","49.3 %","4.9 %","2.73","2.19","2.97","2.3","7274"
"Stephen Strasburg","Nationals","10","7","0","22","22","130.0","10.80","2.63","1.25",".309","75.7 %","43.6 %","15.7 %","3.74","3.62","3.28","2.3","10131"
"Kevin Gausman","- - -","10","11","0","31","31","183.2","7.25","2.45","1.27",".299","76.8 %","46.0 %","13.7 %","3.92","4.32","4.19","2.3","14107"
